Analysis Methodology
Poster Analysis Parameters:
1. Color Features:
   - RGB and HSV histograms (32 bins per channel)
"   - LAB color space moments (mean, std, skewness)"
   - Color variation in different color spaces
""
2. Texture Features:
   - Sobel gradient analysis (edges and details)
"   - GLCM (contrast, dissimilarity, homogeneity, energy, correlation)"
   - Local Binary Patterns (local texture patterns)
""
3. Composition Features:
   - Rule of thirds analysis
   - Vertical and horizontal symmetry
   - Edge density (visual complexity)
""
4. Ranking Criteria:
   - Color variation (30%): Diversity of colors in RGB and HSV spaces
   - Visual appeal (20%): Brightness and saturation
   - Texture quality (25%): Contrast and homogeneity
   - Composition (15%): Edge density and visual complexity
   - Balance (10%): Vertical and horizontal symmetry
""
5. Additional Information:
   - midjourney_prompt: Original prompt used to generate the image
   - Total analyzed: 172 posters
""
Data starts below:

file_path,filename,midjourney_prompt,color_variation_rgb,color_variation_hsv,brightness,saturation,texture_contrast,texture_homogeneity,edge_density,vertical_symmetry,horizontal_symmetry,score,rank
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate",1948.937664686414,2172.504756419803,85.58986367984694,126.14455117984694,548.2820100452927,9.91212541924435,0.20145089285714285,125.75,126.83673469387755,0.511344914131633,39
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png","A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png","A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners",988.9191911711829,1491.5959783064582,127.44941804846938,128.09574298469389,656.4301619015532,10.490982100550347,0.2277782206632653,126.87244897959184,127.23469387755102,0.5107571739450416,40
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32",1775.1635605393285,3293.6674372953926,114.60469148596938,103.22534677933673,459.3166299796128,8.245609375728106,0.17157605229591838,126.5204081632653,126.7295918367347,0.5102928830051424,41
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/tatianathevisionary_Capture_basketball_players_engaging_in_pre-_84981f31-afb8-4d32-8f08-038993576190.png,tatianathevisionary_Capture_basketball_players_engaging_in_pre-_84981f31-afb8-4d32-8f08-038993576190.png,tatianathevisionary_Capture_basketball_players_engaging_in_pre-_84981f31-afb8-4d32-8f08-,1054.7224358411395,1282.6560496355469,112.80564413265306,142.04850924744898,671.6775378144221,10.437412075803374,0.22034438775510204,126.96428571428571,127.25,0.5090328788284443,42
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals",1054.7224358411395,1282.6560496355469,112.80564413265306,142.04850924744898,671.6775378144221,10.437412075803374,0.22034438775510204,126.96428571428571,127.25,0.5090328788284443,42
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out",1141.4133143461515,1567.1334167304753,141.99836575255102,122.19812260841837,553.992153753688,10.014078652116549,0.2345344387755102,126.43367346938776,126.94897959183673,0.5086304300222951,44
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/4 - llustrate the journey of an underdog basketball player navigating a twisting, turning maze under a canopy of lime greens and sunny yellows, capturing the spirit of perseverance and the thrill of unexpected victories .png","4 - llustrate the journey of an underdog basketball player navigating a twisting, turning maze under a canopy of lime greens and sunny yellows, capturing the spirit of perseverance and the thrill of unexpected victories .png","4 - llustrate the journey of an underdog basketball player navigating a twisting, turning maze under a canopy of lime greens and sunny yellows, capturing the spirit of perseverance and the thrill of unexpected victories",1384.1725642057786,1509.0421838040181,116.80102040816327,124.35516980229592,598.496232583286,10.007798673924942,0.23174426020408162,127.2295918367347,127.33673469387755,0.5085748553079297,45
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment .png"," scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment .png"," scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment",2481.1517990642974,1815.683600603365,86.69758450255102,116.71183434311224,578.7346699277043,9.796495113151664,0.19226323341836735,126.4438775510204,126.65816326530613,0.50682658487215,46
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the sky blues and lime greens of the maze. .png","An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the sky blues and lime greens of the maze. .png","An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the sky blues and lime greens of the maze.",1905.3281705522543,1737.8558208800482,99.34319196428571,125.4195631377551,599.025263073471,9.69965716289221,0.20477917729591838,126.11224489795919,126.72448979591837,0.5064863591810717,47
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense .png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense .png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense",1401.8049302595564,1619.5720499564075,104.29257015306122,131.37723214285714,621.789283622224,10.16148671904522,0.21275111607142858,126.76530612244898,127.21938775510205,0.5058220363062488,48
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png","A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png","A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements.",1740.0272687039514,1672.3141899774696,108.96805245535714,125.81489158163265,693.886697371782,9.72798296975657,0.17207429846938777,126.36224489795919,127.01020408163265,0.5057256063431688,49
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement 12.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement 12.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement",1682.238098734342,1678.7657048160909,80.66352439413265,138.03138950892858,571.7766502429354,9.68045007743306,0.23676658163265307,126.48979591836735,126.73979591836735,0.5053779311564643,50
