Analysis Methodology
Poster Analysis Parameters:
1. Color Features:
   - RGB and HSV histograms (32 bins per channel)
"   - LAB color space moments (mean, std, skewness)"
   - Color variation in different color spaces
""
2. Texture Features:
   - Sobel gradient analysis (edges and details)
"   - GLCM (contrast, dissimilarity, homogeneity, energy, correlation)"
   - Local Binary Patterns (local texture patterns)
""
3. Composition Features:
   - Rule of thirds analysis
   - Vertical and horizontal symmetry
   - Edge density (visual complexity)
""
4. Ranking Criteria:
   - Color variation (30%): Diversity of colors in RGB and HSV spaces
   - Visual appeal (20%): Brightness and saturation
   - Texture quality (25%): Contrast and homogeneity
   - Composition (15%): Edge density and visual complexity
   - Balance (10%): Vertical and horizontal symmetry
""
5. Additional Information:
   - midjourney_prompt: Original prompt used to generate the image
   - Rankings: All 172 images are ranked from 1 (highest score) to 172 (lowest score)
   - Score: Higher scores indicate better performance across all metrics
""
Data starts below:

file_path,filename,midjourney_prompt,color_variation_rgb,color_variation_hsv,brightness,saturation,texture_contrast,texture_homogeneity,edge_density,vertical_symmetry,horizontal_symmetry,score,rank
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blue.png,A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blue.png,A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blue,1853.9147431853494,2869.2352603379645,117.58033721301021,100.7504583864796,512.2028269134307,8.621383523664802,0.1764190051020408,127.01020408163265,127.10714285714286,0.5114187048664122,38
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate",1948.937664686414,2172.504756419803,85.58986367984694,126.14455117984694,548.2820100452927,9.91212541924435,0.20145089285714285,125.75,126.83673469387755,0.511344914131633,39
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png","A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png","A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners",988.9191911711829,1491.5959783064582,127.44941804846938,128.09574298469389,656.4301619015532,10.490982100550347,0.2277782206632653,126.87244897959184,127.23469387755102,0.5107571739450416,40
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32",1775.1635605393285,3293.6674372953926,114.60469148596938,103.22534677933673,459.3166299796128,8.245609375728106,0.17157605229591838,126.5204081632653,126.7295918367347,0.5102928830051424,41
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/tatianathevisionary_Capture_basketball_players_engaging_in_pre-_84981f31-afb8-4d32-8f08-038993576190.png,tatianathevisionary_Capture_basketball_players_engaging_in_pre-_84981f31-afb8-4d32-8f08-038993576190.png,tatianathevisionary_Capture_basketball_players_engaging_in_pre-_84981f31-afb8-4d32-8f08-,1054.7224358411395,1282.6560496355469,112.80564413265306,142.04850924744898,671.6775378144221,10.437412075803374,0.22034438775510204,126.96428571428571,127.25,0.5090328788284443,42
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals",1054.7224358411395,1282.6560496355469,112.80564413265306,142.04850924744898,671.6775378144221,10.437412075803374,0.22034438775510204,126.96428571428571,127.25,0.5090328788284443,42
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out",1141.4133143461515,1567.1334167304753,141.99836575255102,122.19812260841837,553.992153753688,10.014078652116549,0.2345344387755102,126.43367346938776,126.94897959183673,0.5086304300222951,44
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/4 - llustrate the journey of an underdog basketball player navigating a twisting, turning maze under a canopy of lime greens and sunny yellows, capturing the spirit of perseverance and the thrill of unexpected victories .png","4 - llustrate the journey of an underdog basketball player navigating a twisting, turning maze under a canopy of lime greens and sunny yellows, capturing the spirit of perseverance and the thrill of unexpected victories .png","4 - llustrate the journey of an underdog basketball player navigating a twisting, turning maze under a canopy of lime greens and sunny yellows, capturing the spirit of perseverance and the thrill of unexpected victories",1384.1725642057786,1509.0421838040181,116.80102040816327,124.35516980229592,598.496232583286,10.007798673924942,0.23174426020408162,127.2295918367347,127.33673469387755,0.5085748553079297,45
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment .png"," scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment .png"," scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment",2481.1517990642974,1815.683600603365,86.69758450255102,116.71183434311224,578.7346699277043,9.796495113151664,0.19226323341836735,126.4438775510204,126.65816326530613,0.50682658487215,46
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the sky blues and lime greens of the maze. .png","An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the sky blues and lime greens of the maze. .png","An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the sky blues and lime greens of the maze.",1905.3281705522543,1737.8558208800482,99.34319196428571,125.4195631377551,599.025263073471,9.69965716289221,0.20477917729591838,126.11224489795919,126.72448979591837,0.5064863591810717,47
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense .png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense .png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense",1401.8049302595564,1619.5720499564075,104.29257015306122,131.37723214285714,621.789283622224,10.16148671904522,0.21275111607142858,126.76530612244898,127.21938775510205,0.5058220363062488,48
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png","A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png","A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements.",1740.0272687039514,1672.3141899774696,108.96805245535714,125.81489158163265,693.886697371782,9.72798296975657,0.17207429846938777,126.36224489795919,127.01020408163265,0.5057256063431688,49
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement 12.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement 12.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement",1682.238098734342,1678.7657048160909,80.66352439413265,138.03138950892858,571.7766502429354,9.68045007743306,0.23676658163265307,126.48979591836735,126.73979591836735,0.5053779311564643,50
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends well.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends well.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends well",1402.9792778821313,1976.2262648796063,133.06792091836735,118.7647480867347,500.2987004446301,9.33622441193609,0.2181720344387755,126.23979591836735,126.69897959183673,0.5040198036118667,51
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A triumphant scene of basketball players celebrating with a trophy, rendered in a bright, cheerful color palette. The artwork features lime greens, sunny yellows, and sky blues, with players in dynamic, joyful poses. .png","A triumphant scene of basketball players celebrating with a trophy, rendered in a bright, cheerful color palette. The artwork features lime greens, sunny yellows, and sky blues, with players in dynamic, joyful poses. .png","A triumphant scene of basketball players celebrating with a trophy, rendered in a bright, cheerful color palette. The artwork features lime greens, sunny yellows, and sky blues, with players in dynamic, joyful poses.",1618.1516976682583,1507.9300865203709,113.89981265943878,127.23032924107143,694.2925872735013,9.137526708374383,0.18409199617346939,125.82142857142857,127.31632653061224,0.5026183779521005,52
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant scene capturing the excitement of game day, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the players warming up, fans cheering, and the festive atmosphere. T.png","A vibrant scene capturing the excitement of game day, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the players warming up, fans cheering, and the festive atmosphere. T.png","A vibrant scene capturing the excitement of game day, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the players warming up, fans cheering, and the festive atmosphere. T",1309.0556631276863,1508.6910096172774,118.48551100127551,123.0657884247449,569.9133171057466,10.401172548992763,0.2507174744897959,124.95408163265306,126.73979591836735,0.501106535845287,53
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the challengin.png","A player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the challengin.png","A player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the challengin",1451.397688436908,1794.105783531172,141.7410514987245,151.02527104591837,402.9737454869851,8.243336089562002,0.1502311862244898,126.84693877551021,126.84183673469387,0.5007886854993797,54
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow.png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow.png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow",2270.257176144001,1832.6404846104797,87.4517897002551,118.54139429209184,583.2722578731693,9.683906652849977,0.19118702168367346,126.35714285714286,126.6734693877551,0.49902425004380574,55
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry.png","A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry.png","A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry",2113.8336224342097,2890.413919320207,131.28914221938774,107.5307916135204,350.7961220905978,7.425137825240014,0.16312579719387754,125.9438775510204,126.27551020408163,0.4982937689790783,56
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Historic basketball plays are reenacted at key points in the maze, with players dressed in retro gear against a backdrop of historic color schemes, blending nostalgia with the modern aesthetic of the collection1.png","Historic basketball plays are reenacted at key points in the maze, with players dressed in retro gear against a backdrop of historic color schemes, blending nostalgia with the modern aesthetic of the collection1.png","Historic basketball plays are reenacted at key points in the maze, with players dressed in retro gear against a backdrop of historic color schemes, blending nostalgia with the modern aesthetic of the collection",1093.2825000886094,2133.8070681686913,134.74808673469389,139.6764588647959,403.2981935462437,7.886474882617363,0.19907924107142858,126.59693877551021,126.98979591836735,0.4978694292143683,57
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest co.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest co.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest co",1794.5052010698287,3750.4195237555314,124.38091916454081,106.46761399872449,372.47704544949124,7.188072755437166,0.1412627551020408,126.55102040816327,125.57142857142857,0.4974143919086464,58
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/nd coaches giving instructions, all set against a backdrop of motivational banners in bright colo.png","nd coaches giving instructions, all set against a backdrop of motivational banners in bright colo.png","nd coaches giving instructions, all set against a backdrop of motivational banners in bright colo",1436.1835856417058,2291.778153348763,116.2923509247449,137.49802694515307,404.3754240260655,8.148312815757139,0.17737563775510204,127.14285714285714,127.13265306122449,0.4965093130663485,59
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/tatianathevisionary_Illustrate_a_rigorous_training_session_with_262a5605-427f-43c3-b1de-cd8cdc429689.png,tatianathevisionary_Illustrate_a_rigorous_training_session_with_262a5605-427f-43c3-b1de-cd8cdc429689.png,tatianathevisionary_Illustrate_a_rigorous_training_session_with_262a5605-427f-43c3-b1de-cd8cdc,1436.1835856417058,2291.778153348763,116.2923509247449,137.49802694515307,404.3754240260655,8.148312815757139,0.17737563775510204,127.14285714285714,127.13265306122449,0.4965093130663485,59
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element32.png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element32.png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element",2226.962262066124,1848.3462991730382,85.89379384566327,122.34297273596938,560.5081561516322,9.488175059563888,0.2022082270408163,126.06122448979592,126.20408163265306,0.4959827888211695,61
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball and player’s attire--lime greens, sunny yellows, and sky blues--highlight the intensity 3.png","A close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball and player’s attire--lime greens, sunny yellows, and sky blues--highlight the intensity 3.png","A close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball and player’s attire--lime greens, sunny yellows, and sky blues--highlight the intensity",1521.2221306677513,1436.2981497586077,113.4242865114796,129.67442602040816,520.2671796836114,9.407210383374599,0.22415098852040816,127.15816326530613,127.18367346938776,0.49506174804643216,62
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A star basketball player navigates a fan-favorite section of the maze, where the walls are decorated with posters and graffiti celebrating his achievements, in bright.png","A star basketball player navigates a fan-favorite section of the maze, where the walls are decorated with posters and graffiti celebrating his achievements, in bright.png","A star basketball player navigates a fan-favorite section of the maze, where the walls are decorated with posters and graffiti celebrating his achievements, in bright",1263.8736009453899,1390.758598451459,89.56220105229592,159.8975207270408,503.6533072943557,9.026117015242363,0.23365752551020408,126.06122448979592,126.75,0.4933272032714866,63
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball bursting into hundreds of colorful shards each fragment a different shape, size, and color, flying outward in a dramatic explosion, with vibrant oranges, reds, and yellows contrasted against a dark background, creating a bold visuals.png","A basketball bursting into hundreds of colorful shards each fragment a different shape, size, and color, flying outward in a dramatic explosion, with vibrant oranges, reds, and yellows contrasted against a dark background, creating a bold visuals.png","A basketball bursting into hundreds of colorful shards each fragment a different shape, size, and color, flying outward in a dramatic explosion, with vibrant oranges, reds, and yellows contrasted against a dark background, creating a bold visuals",1975.2057013131569,1913.064502745965,86.6312181122449,131.59213568239795,502.81050784957426,8.625229390959806,0.19280133928571427,125.2295918367347,127.04591836734694,0.4898394061510967,64
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Basketballs rain down upon the maze, each aimed at a hoop, in a grand, celebratory fashion. This visual feast of sunny yellows and oranges against a backdrop of lime greens and sky blues captures the climactic moment of victory, where abundance a.png","Basketballs rain down upon the maze, each aimed at a hoop, in a grand, celebratory fashion. This visual feast of sunny yellows and oranges against a backdrop of lime greens and sky blues captures the climactic moment of victory, where abundance a.png","Basketballs rain down upon the maze, each aimed at a hoop, in a grand, celebratory fashion. This visual feast of sunny yellows and oranges against a backdrop of lime greens and sky blues captures the climactic moment of victory, where abundance a",1640.8449297033933,2629.9003902239338,112.5658880739796,126.23014987244898,398.52035447500737,7.233035114735016,0.17829241071428573,126.14795918367346,126.62755102040816,0.487759785283166,65
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A triumphant scene of basketball players celebrating a win, rendered in a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues highlight the players' joyful poses and the trophy they’re holding. .png","A triumphant scene of basketball players celebrating a win, rendered in a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues highlight the players' joyful poses and the trophy they’re holding. .png","A triumphant scene of basketball players celebrating a win, rendered in a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues highlight the players' joyful poses and the trophy they’re holding.",761.4119012291136,1268.289859088476,134.8057238520408,120.68050462372449,729.1475085354583,10.228812835939832,0.2134685905612245,126.73979591836735,127.46428571428571,0.4870716345511855,66
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball hoop rendered in a retro, pixelated style--bright, pop art-inspired colors like neon pinks, greens, and blues, with pixel art detailing, giving the design a nostalgic video game vibe, contrasted with bold black outlines for a modern .png","A basketball hoop rendered in a retro, pixelated style--bright, pop art-inspired colors like neon pinks, greens, and blues, with pixel art detailing, giving the design a nostalgic video game vibe, contrasted with bold black outlines for a modern .png","A basketball hoop rendered in a retro, pixelated style--bright, pop art-inspired colors like neon pinks, greens, and blues, with pixel art detailing, giving the design a nostalgic video game vibe, contrasted with bold black outlines for a modern",1965.171875434818,2156.2258404443633,136.85467155612244,142.80470742984693,357.5432146878294,6.6106275294593635,0.11551339285714286,119.5204081632653,127.42857142857143,0.48670836652719623,67
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Multiple basketballs mimic each other’s paths in echo-like patterns, creating layers of movement within the maze. This complex choreography, depicted in sunny yellows and oranges, forms a striking contrast against the structured backdrop of sky.png","Multiple basketballs mimic each other’s paths in echo-like patterns, creating layers of movement within the maze. This complex choreography, depicted in sunny yellows and oranges, forms a striking contrast against the structured backdrop of sky.png","Multiple basketballs mimic each other’s paths in echo-like patterns, creating layers of movement within the maze. This complex choreography, depicted in sunny yellows and oranges, forms a striking contrast against the structured backdrop of sky",1358.6223644437282,1735.1605413236744,132.8985969387755,143.02543048469389,456.14174410075975,7.634927831224047,0.16946348852040816,125.46428571428571,127.17857142857143,0.48656364438015004,68
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element .png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element .png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element",1691.3803657565222,2252.7361742630524,89.48555086096938,111.70159040178571,539.8678147761138,9.573394660962599,0.20595503826530612,126.85204081632654,126.9438775510204,0.4848529631388787,69
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element.png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element.png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element",1740.7533510427795,1882.85479724274,96.19278140943878,118.97989078443878,468.1622207409803,9.317118244103678,0.2328204719387755,126.43877551020408,126.67857142857143,0.48413344393265045,70
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue32.png","A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue32.png","A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue",1076.5179883154144,2072.737697466807,143.0237962372449,126.2817083864796,337.1540909947443,8.443458270654917,0.2142059948979592,126.34693877551021,126.99489795918367,0.4837106805426153,71
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court's lines, markings, and hoop from above..png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court's lines, markings, and hoop from above..png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court's lines, markings, and hoop from above",1802.9247534677277,1821.483924579078,115.12870695153062,127.99940210459184,473.68493015505993,9.095323645175359,0.1695830676020408,124.91326530612245,126.85714285714286,0.48317887662521436,72
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. .png","A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. .png","A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes.",1019.8261391858255,1413.1573470424303,134.4865274234694,127.32959980867346,522.1600954514591,10.819328382642453,0.20362324617346939,126.20918367346938,127.18367346938776,0.48298782192901335,73
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action.png","A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action.png","A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action",1358.1415917839101,1571.6340355396567,131.61039142219389,116.45878507653062,530.8468721255031,9.43794936866663,0.22072305484693877,124.58163265306122,126.84693877551021,0.4818925602984353,74
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious.png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious.png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious",1360.644194857715,1782.456281605059,120.75177375637755,112.94188456632654,519.6687734337554,8.984397864288049,0.23046875,126.53061224489795,126.95408163265306,0.4810653678230413,75
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out",1374.2684644930189,1142.1551631309412,105.59203603316327,132.1727519132653,575.8524929816267,9.711185420365956,0.22905373086734693,126.28571428571429,127.17857142857143,0.47977944294118413,76
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball player launching into a high jump shot at the maze’s central crossroads, with maze walls glowing in lime greens and sky blues. The basketball is captured mid-air in a bright sunny yellow, symbolizing hope and ambition. The backdrop.png","A basketball player launching into a high jump shot at the maze’s central crossroads, with maze walls glowing in lime greens and sky blues. The basketball is captured mid-air in a bright sunny yellow, symbolizing hope and ambition. The backdrop.png","A basketball player launching into a high jump shot at the maze’s central crossroads, with maze walls glowing in lime greens and sky blues. The basketball is captured mid-air in a bright sunny yellow, symbolizing hope and ambition. The backdrop",1959.8370467975137,1398.1655987996082,97.55606265943878,119.54438376913265,534.3583483052504,9.318817816671531,0.22383211096938777,126.79081632653062,126.58163265306122,0.4784494281479597,77
