Selection Methodology
Image Analysis Parameters:
- Color Features: RGB histogram with 32 bins per channel
- Texture Features: Sobel gradient magnitude (mean and std)
- Clustering Method: K-means (k=20)
- Feature Scaling: StandardScaler
- Selection: One representative image per cluster (closest to centroid)
""
Metrics Explanation:
- color_variation: Standard deviation of color histogram (higher = more diverse colors)
- avg_brightness: Mean of color histogram (higher = brighter image)
- texture_intensity: Mean gradient magnitude (higher = more edges/details)
- texture_variation: Standard deviation of gradients (higher = more texture variety)
""
Data starts below:

poster_number,file_path,filename,selection_date,color_variation,avg_brightness,texture_intensity,texture_variation
11,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png","A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png",2025-04-22 18:12:46,1618.1516976682583,1568.0,110.40254793559636,126.12093047612096
12,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, .png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, .png",2025-04-22 18:12:46,1949.0168942743073,1568.0,113.24638832146314,121.46710716496247
13,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Illustrate a rigorous training session within the maze, with basketball players running drills and coaches giving instructions, all set against a backdrop of motivational banners in bright colors .png","Illustrate a rigorous training session within the maze, with basketball players running drills and coaches giving instructions, all set against a backdrop of motivational banners in bright colors .png",2025-04-22 18:12:46,988.9191911711829,1568.0,116.2955393218451,110.884278684075
14,/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d.png,tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d.png,2025-04-22 18:12:46,1141.4133143461515,1568.0,113.78334213881038,109.22095295828213
15,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue32.png","A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue32.png",2025-04-22 18:12:46,2481.1517990642974,1568.0,112.03018580937231,118.68342581767065
16,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry. The maze walls are bright with lime greens and sky blue.png","A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry. The maze walls are bright with lime greens and sky blue.png",2025-04-22 18:12:46,1853.297832019092,1568.0,66.6990788917804,68.90536722203403
17,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere.png",2025-04-22 18:12:46,1842.2975635059609,1568.0,85.81750845911641,94.72221725553993
18,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant scene of a basketball team huddling together, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues capture the team’s unity and energy, with a dynamic court backdrop and playful details.png","A vibrant scene of a basketball team huddling together, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues capture the team’s unity and energy, with a dynamic court backdrop and playful details.png",2025-04-22 18:12:46,1174.8502741484408,1568.0,111.47484200789093,114.4104475270227
19,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette.png","Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette.png",2025-04-22 18:12:46,1839.6186312204313,1568.0,73.18637710199096,84.56374663878272
20,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png",2025-04-22 18:12:46,1789.3262465706657,1568.0,70.6923899256103,70.48820555722
